# R	vm0	vstd0
39.59161445	0.03642231	0.01871492
39.77910324	0.04008849	0.01744217
39.96659203	0.04213650	0.01626837
40.15408082	0.04482631	0.01501184
40.34156961	0.04528133	0.01380001
40.52905840	0.04559832	0.01266042
40.71654719	0.04615818	0.01169884
40.90403598	0.04624630	0.01110595
41.09152477	0.04592016	0.01074157
41.27901356	0.04543092	0.01036676
41.46650235	0.04368338	0.01007903
41.65399114	0.04150065	0.00969206
41.84147994	0.03840245	0.00950654
42.02896873	0.03575912	0.00965299
42.21645752	0.03475134	0.00977173
42.40394631	0.03272462	0.00999620
42.59143510	0.02768393	0.01025034
42.77892389	0.02426657	0.01041834
42.96641268	0.02021091	0.01059257
43.15390147	0.01897115	0.01068589
43.34139026	0.01736874	0.01076634
43.52887905	0.01560660	0.01080835
43.71636784	0.01438988	0.01064574
43.90385663	0.01356607	0.01051388
44.09134542	0.01303325	0.01055902
44.27883421	0.01388556	0.01052716
44.46632300	0.01392944	0.01044253
44.65381179	0.01549273	0.01029354
44.84130059	0.01605862	0.01009354
45.02878938	0.01666817	0.00988951
45.21627817	0.01709504	0.00970530
45.40376696	0.01745359	0.00941444
45.59125575	0.01787714	0.00911557
45.77874454	0.01834886	0.00889206
45.96623333	0.01827254	0.00864615
46.15372212	0.01871610	0.00826813
46.34121091	0.01908660	0.00786664
46.52869970	0.01939352	0.00751043
46.71618849	0.01971923	0.00715630
46.90367728	0.02005727	0.00683397
47.09116607	0.02040762	0.00654084
47.27865486	0.02063252	0.00632739
47.46614365	0.02064887	0.00613255
47.65363244	0.02044839	0.00598484
47.84112124	0.02027491	0.00590557
48.02861003	0.02024412	0.00583161
48.21609882	0.02027399	0.00573973
48.40358761	0.02008818	0.00563366
48.59107640	0.01986721	0.00552061
48.77856519	0.01962928	0.00543434
48.96605398	0.01938784	0.00532836
49.15354277	0.01915157	0.00523309
49.34103156	0.01892012	0.00514081
49.52852035	0.01876738	0.00508052
49.71600914	0.01871024	0.00502070
49.90349793	0.01874816	0.00500530
50.09098672	0.01888100	0.00500648
50.27847551	0.01912518	0.00501329
50.46596430	0.01892932	0.00499651
50.65345309	0.01870652	0.00496081
50.84094188	0.01845673	0.00490533
51.02843068	0.01889417	0.00487418
51.21591947	0.01947401	0.00486194
51.40340826	0.01998623	0.00480520
51.59089705	0.02048742	0.00472872
51.77838584	0.02097676	0.00465424
51.96587463	0.02145454	0.00461081
52.15336342	0.02162756	0.00463731
52.34085221	0.02173242	0.00466001
52.52834100	0.02153490	0.00466671
52.71582979	0.02124927	0.00467356
52.90331858	0.02087562	0.00466405
53.09080737	0.02041482	0.00466953
53.27829616	0.02042622	0.00470401
53.46578495	0.02049701	0.00469414
53.65327374	0.02062679	0.00468893
53.84076253	0.02006956	0.00470709
54.02825133	0.01951235	0.00471231
54.21574012	0.01896813	0.00469638
54.40322891	0.01836727	0.00470751
54.59071770	0.01787783	0.00470517
54.77820649	0.01744666	0.00467329
54.96569528	0.01736722	0.00469833
55.15318407	0.01734163	0.00476308
55.34067286	0.01755085	0.00486459
55.52816165	0.01774731	0.00494907
55.71565044	0.01779206	0.00505253
55.90313923	0.01754341	0.00519791
56.09062802	0.01730837	0.00537794
56.27811681	0.01708663	0.00560939
