# R	vm0	vstd0
31.93318403	0.04532495	0.01520442
32.17302252	0.04499975	0.01453738
32.41286102	0.04462757	0.01392746
32.65269951	0.04415569	0.01344001
32.89253800	0.04343625	0.01301029
33.13237650	0.04286547	0.01268610
33.37221499	0.04243146	0.01242275
33.61205349	0.04182566	0.01227706
33.85189198	0.04144961	0.01222636
34.09173047	0.04127513	0.01210862
34.33156897	0.04087335	0.01199098
34.57140746	0.03989330	0.01187711
34.81124596	0.03789197	0.01174886
35.05108445	0.03590920	0.01162491
35.29092294	0.03423863	0.01144915
35.53076144	0.03258685	0.01121089
35.77059993	0.03109224	0.01091050
36.01043843	0.03061051	0.01057675
36.25027692	0.03043016	0.01035777
36.49011541	0.03064612	0.01010030
36.72995391	0.03087239	0.00986749
36.96979240	0.03110574	0.00959591
37.20963090	0.03156054	0.00938745
37.44946939	0.03006067	0.00930261
37.68930789	0.02836336	0.00928058
37.92914638	0.02675163	0.00918712
38.16898487	0.02559301	0.00905813
38.40882337	0.02543839	0.00895634
38.64866186	0.02531426	0.00896931
38.88850036	0.02493384	0.00891704
39.12833885	0.02463281	0.00879138
39.36817734	0.02427284	0.00877256
39.60801584	0.02263051	0.00855308
39.84785433	0.02070880	0.00848767
40.08769283	0.01875398	0.00856561
40.32753132	0.01677285	0.00857173
40.56736981	0.01473638	0.00850358
40.80720831	0.01273878	0.00849213
41.04704680	0.01255460	0.00863399
41.28688530	0.01249315	0.00868148
41.52672379	0.01270027	0.00875838
41.76656228	0.01311686	0.00888623
42.00640078	0.01359326	0.00898360
42.24623927	0.01406915	0.00919142
42.48607777	0.01454297	0.00943573
42.72591626	0.01497982	0.00965524
42.96575475	0.01537971	0.00989708
43.20559325	0.01611030	0.01022256
43.44543174	0.01693287	0.01050136
43.68527024	0.01765406	0.01074868
43.92510873	0.01825686	0.01100342
44.16494723	0.01878540	0.01116239
44.40478572	0.01923970	0.01128525
44.64462421	0.01961974	0.01134269
44.88446271	0.01992553	0.01141069
45.12430120	0.02015707	0.01150760
45.36413970	0.02024690	0.01156941
45.60397819	0.02031172	0.01153678
45.84381668	0.02034552	0.01148718
46.08365518	0.02034425	0.01146328
46.32349367	0.02030791	0.01141794
46.56333217	0.02032212	0.01132034
46.80317066	0.02035242	0.01118313
47.04300915	0.02046711	0.01108261
47.28284765	0.02063481	0.01100011
47.52268614	0.02083119	0.01093644
47.76252464	0.02100374	0.01083305
48.00236313	0.02114615	0.01064118
48.24220162	0.02127034	0.01042438
48.48204012	0.02138126	0.01019132
48.72187861	0.02147890	0.00989469
48.96171711	0.02168184	0.00957134
49.20155560	0.02180716	0.00928625
49.44139409	0.02228859	0.00897237
49.68123259	0.02219596	0.00866450
49.92107108	0.02220639	0.00839719
50.16090958	0.02223423	0.00819406
50.40074807	0.02231395	0.00795106
50.64058657	0.02214947	0.00776377
50.88042506	0.02214106	0.00758964
51.12026355	0.02184498	0.00754872
51.36010205	0.02152969	0.00756941
51.59994054	0.02095293	0.00760865
51.83977904	0.02034995	0.00773038
52.07961753	0.01975296	0.00789180
52.31945602	0.01916197	0.00812661
52.55929452	0.01847847	0.00831985
52.79913301	0.01755527	0.00849921
53.03897151	0.01638695	0.00877199
53.27881000	0.01590366	0.00911757
53.51864849	0.01543141	0.00935781
53.75848699	0.01511735	0.00953034
53.99832548	0.01475701	0.00985279
54.23816398	0.01455304	0.01011950
54.47800247	0.01417731	0.01031462
54.71784096	0.01410376	0.01037804
54.95767946	0.01411644	0.01047218
55.19751795	0.01446392	0.01052273
55.43735645	0.01474414	0.01057654
55.67719494	0.01513686	0.01063997
55.91703343	0.01566640	0.01081318
56.15687193	0.01654275	0.01097638
56.39671042	0.01802107	0.01113254
56.63654892	0.01878931	0.01115096
56.87638741	0.01948894	0.01102530
57.11622591	0.02009378	0.01097572
57.35606440	0.01934769	0.01088257
57.59590289	0.01747750	0.01091214
57.83574139	0.01648708	0.01093945
58.07557988	0.01663300	0.01095698
58.31541838	0.01700217	0.01114879
58.55525687	0.01720613	0.01145867
58.79509536	0.01618907	0.01161578
59.03493386	0.01529201	0.01184480
59.27477235	0.01443923	0.01213439
59.51461085	0.01360643	0.01236976
59.75444934	0.01267357	0.01261286
59.99428783	0.01164066	0.01282363
60.23412633	0.01139142	0.01308564
60.47396482	0.01128439	0.01318894
60.71380332	0.01138818	0.01329253
60.95364181	0.01277244	0.01347534
61.19348030	0.01540423	0.01365734
61.43331880	0.01730479	0.01368316
61.67315729	0.01817679	0.01352327
61.91299579	0.01896203	0.01320171
62.15283428	0.02002743	0.01287262
62.39267277	0.02260136	0.01265919
62.63251127	0.02494679	0.01256038
62.87234976	0.02656312	0.01250538
63.11218826	0.02630902	0.01237131
63.35202675	0.02645492	0.01220306
63.59186525	0.02610762	0.01206323
63.83170374	0.02680120	0.01185044
64.07154223	0.02713121	0.01167853
64.31138073	0.02728079	0.01149562
64.55121922	0.02723244	0.01136970
64.79105772	0.02699680	0.01139472
65.03089621	0.02658761	0.01139230
65.27073470	0.02609023	0.01133613
65.51057320	0.02541976	0.01152344
65.75041169	0.02459289	0.01175650
65.99025019	0.02343707	0.01206351
66.23008868	0.02218592	0.01222347
66.46992717	0.02257475	0.01233896
66.70976567	0.02462586	0.01239009
66.94960416	0.02539414	0.01249526
67.18944266	0.02649434	0.01270958
67.42928115	0.02641039	0.01274860
67.66911964	0.02654675	0.01273958
67.90895814	0.02667478	0.01270678
68.14879663	0.02685126	0.01268695
68.38863513	0.02707619	0.01261212
68.62847362	0.02733580	0.01257148
68.86831211	0.02754476	0.01251729
69.10815061	0.02775337	0.01237947
69.34798910	0.02804418	0.01222509
69.58782760	0.02894249	0.01220650
69.82766609	0.02919960	0.01232036
70.06750459	0.02776249	0.01249756
70.30734308	0.02636376	0.01269945
70.54718157	0.02567806	0.01299407
70.78702007	0.02497505	0.01332059
71.02685856	0.02417792	0.01362578
71.26669706	0.02328669	0.01389269
71.50653555	0.02230135	0.01417318
71.74637404	0.02122190	0.01438810
71.98621254	0.02004834	0.01454241
72.22605103	0.01886046	0.01464960
72.46588953	0.01766644	0.01474438
72.70572802	0.01646629	0.01477392
72.94556651	0.01518234	0.01469728
73.18540501	0.01328269	0.01454618
73.42524350	0.01228972	0.01432932
73.66508200	0.01188054	0.01410976
73.90492049	0.01144158	0.01385919
74.14475898	0.01097285	0.01358687
74.38459748	0.01048316	0.01332785
74.62443597	0.01003129	0.01303594
74.86427447	0.00961724	0.01271997
75.10411296	0.00924101	0.01229641
75.34395146	0.00890259	0.01182033
75.58378995	0.00860199	0.01132890
75.82362844	0.00825942	0.01079712
76.06346694	0.00786669	0.01022446
76.30330543	0.00742380	0.00966221
76.54314393	0.00693075	0.00908845
76.78298242	0.00639412	0.00851043
77.02282091	0.00638561	0.00790902
77.26265941	0.00701076	0.00732486
77.50249790	0.00765814	0.00682866
77.74233640	0.00749328	0.00641045
77.98217489	0.00732312	0.00611512
78.22201338	0.00700600	0.00589997
78.46185188	0.00703378	0.00577362
78.70169037	0.00740645	0.00571207
78.94152887	0.00752740	0.00574452
79.18136736	0.00748307	0.00584582
79.42120585	0.00839254	0.00611342
79.66104435	0.00904048	0.00644789
79.90088284	0.00985665	0.00672776
80.14072134	0.01118882	0.00703234
80.38055983	0.01230316	0.00733161
80.62039832	0.01275650	0.00774156
80.86023682	0.01251652	0.00812916
81.10007531	0.01225845	0.00855112
81.33991381	0.01284814	0.00889927
81.57975230	0.01350224	0.00919505
81.81959080	0.01437598	0.00937122
82.05942929	0.01496905	0.00957613
82.29926778	0.01526317	0.00977051
82.53910628	0.01574083	0.00989011
82.77894477	0.01641958	0.00995398
83.01878327	0.01618034	0.00992705
83.25862176	0.01623844	0.00982241
83.49846025	0.01625403	0.00964139
83.73829875	0.01574342	0.00942287
83.97813724	0.01545776	0.00916695
84.21797574	0.01532949	0.00889312
84.45781423	0.01528537	0.00863655
84.69765272	0.01526164	0.00832676
84.93749122	0.01522687	0.00806480
85.17732971	0.01515750	0.00778752
85.41716821	0.01503997	0.00750008
85.65700670	0.01488270	0.00708077
85.89684519	0.01470400	0.00676331
86.13668369	0.01461798	0.00652510
86.37652218	0.01466087	0.00625791
86.61636068	0.01497352	0.00597653
86.85619917	0.01555595	0.00588741
87.09603766	0.01631823	0.00589010
87.33587616	0.01735935	0.00570504
87.57571465	0.01860540	0.00567187
87.81555315	0.01843687	0.00562824
88.05539164	0.01916773	0.00565272
88.29523014	0.01895621	0.00567707
88.53506863	0.01932293	0.00572612
88.77490712	0.02017954	0.00574393
89.01474562	0.02093068	0.00584949
89.25458411	0.02108448	0.00578054
89.49442261	0.02028877	0.00576502
89.73426110	0.02001678	0.00581976
89.97409959	0.01947892	0.00584629
90.21393809	0.01979478	0.00586100
90.45377658	0.01978721	0.00593516
90.69361508	0.01921509	0.00603830
90.93345357	0.01859752	0.00608064
91.17329206	0.01846290	0.00612972
91.41313056	0.01854238	0.00613239
91.65296905	0.01900226	0.00608358
91.89280755	0.02034020	0.00612938
92.13264604	0.02047930	0.00607945
92.37248453	0.01951074	0.00601268
92.61232303	0.01854687	0.00601539
92.85216152	0.01821686	0.00596433
93.09200002	0.01887050	0.00586333
93.33183851	0.01903459	0.00579603
93.57167700	0.01945921	0.00578088
93.81151550	0.01879922	0.00576229
94.05135399	0.01864500	0.00570190
94.29119249	0.01881041	0.00570249
94.53103098	0.01831338	0.00562431
94.77086948	0.01665613	0.00554096
95.01070797	0.01621063	0.00551043
95.25054646	0.01449662	0.00559316
95.49038496	0.01285820	0.00578124
95.73022345	0.01185165	0.00602845
95.97006195	0.01147414	0.00639942
96.20990044	0.01120868	0.00682565
96.44973893	0.01091797	0.00728227
