# R	vm0	vstd0
32.17592280	0.04812506	0.02105655
32.40218535	0.05128248	0.01925663
32.62844791	0.05360701	0.01744618
32.85471046	0.05638281	0.01569682
33.08097302	0.05835898	0.01414781
33.30723557	0.05876192	0.01279242
33.53349813	0.05936251	0.01165379
33.75976068	0.06151121	0.01098980
33.98602323	0.06385501	0.01082225
34.21228579	0.06685019	0.01034927
34.43854834	0.06772241	0.01014690
34.66481090	0.06701546	0.00983445
34.89107345	0.06828473	0.00982925
35.11733601	0.06692339	0.00970207
35.34359856	0.06710006	0.00964523
35.56986112	0.06564751	0.00974753
35.79612367	0.06300901	0.01007700
36.02238622	0.06088072	0.01050450
36.24864878	0.05818835	0.01088185
36.47491133	0.05664609	0.01135657
36.70117389	0.05639298	0.01146358
36.92743644	0.05634585	0.01193995
37.15369900	0.05453209	0.01214761
37.37996155	0.05257367	0.01232010
37.60622411	0.05095856	0.01253368
37.83248666	0.04963888	0.01266318
38.05874921	0.04903175	0.01282019
38.28501177	0.04803800	0.01274675
38.51127432	0.04834057	0.01255735
38.73753688	0.04915104	0.01226680
38.96379943	0.04968133	0.01181019
39.19006199	0.05015720	0.01137671
39.41632454	0.05080677	0.01099734
39.64258710	0.05142016	0.01080933
39.86884965	0.05153673	0.01065363
40.09511220	0.05180634	0.01054472
40.32137476	0.05154127	0.01043368
40.54763731	0.05136368	0.01041172
40.77389987	0.05100461	0.01033043
41.00016242	0.05031422	0.01055045
41.22642498	0.04955701	0.01073438
41.45268753	0.04834482	0.01090220
41.67895009	0.04775218	0.01088567
41.90521264	0.04656286	0.01094461
42.13147519	0.04438755	0.01097255
42.35773775	0.04223418	0.01101122
42.58400030	0.04022909	0.01096733
42.81026286	0.03852022	0.01076459
43.03652541	0.03699044	0.01065440
43.26278797	0.03559226	0.01051792
43.48905052	0.03428609	0.01033201
43.71531308	0.03306348	0.01008334
43.94157563	0.03192412	0.00983547
44.16783818	0.03114957	0.00959008
44.39410074	0.03072686	0.00931927
