# R	vm0	vm1	vm2	vstd0	vstd1	vstd2
33.55525081	0.06357657	0.03267354	0.04812506	0.03762038	0.03184147	0.01800231
33.77435763	0.06902646	0.03353850	0.05128248	0.03374971	0.02910714	0.01637237
33.99346444	0.06687362	0.04034040	0.05360701	0.03018919	0.02655180	0.01478715
34.21257126	0.06631222	0.04645341	0.05638281	0.02647502	0.02400132	0.01318081
34.43167807	0.06670337	0.05001460	0.05835898	0.02330921	0.02161472	0.01182914
34.65078489	0.06536764	0.05215619	0.05876192	0.02069801	0.01939639	0.01053329
34.86989170	0.06423833	0.05448669	0.05936251	0.01848707	0.01790673	0.00950575
35.08899852	0.06448568	0.05853673	0.06151121	0.01704886	0.01678356	0.00883606
35.30810534	0.06497773	0.06273230	0.06385501	0.01684509	0.01644453	0.00869836
35.52721215	0.06806891	0.06563147	0.06685019	0.01653135	0.01588908	0.00866059
35.74631897	0.06751359	0.06793122	0.06772241	0.01667477	0.01519938	0.00860275
35.96542578	0.06213839	0.07189252	0.06701546	0.01707032	0.01488406	0.00884107
36.18453260	0.06539661	0.07117286	0.06828473	0.01758183	0.01483971	0.00912484
36.40363941	0.06599061	0.06785618	0.06692339	0.01821217	0.01485696	0.00952489
36.62274623	0.06520663	0.06899349	0.06710006	0.01896639	0.01474344	0.00989388
36.84185304	0.06633832	0.06495669	0.06564751	0.01919029	0.01449217	0.01010220
37.06095986	0.05991098	0.06610704	0.06300901	0.01972403	0.01472178	0.01037721
37.28006667	0.06029058	0.06147086	0.06088072	0.01990566	0.01513738	0.01055696
37.49917349	0.05839789	0.05797880	0.05818835	0.02026699	0.01549580	0.01077903
37.71828031	0.05703703	0.05625514	0.05664609	0.02012733	0.01588469	0.01093703
37.93738712	0.05703698	0.05574898	0.05639298	0.02027352	0.01578644	0.01096359
38.15649394	0.05703834	0.05565337	0.05634585	0.02009186	0.01601314	0.01084853
38.37560075	0.05448538	0.05457881	0.05453209	0.01998751	0.01590480	0.01055363
38.59470757	0.05189951	0.05324783	0.05257367	0.01963373	0.01624589	0.01017899
38.81381438	0.04869546	0.05322166	0.05095856	0.01915782	0.01618334	0.00976176
39.03292120	0.04549255	0.05378521	0.04963888	0.01844060	0.01628082	0.00934136
39.25202801	0.04548183	0.05258167	0.04903175	0.01767569	0.01609421	0.00881648
39.47113483	0.04463650	0.05143949	0.04803800	0.01729643	0.01620021	0.00848577
39.69024164	0.04511771	0.05156343	0.04834057	0.01661335	0.01616794	0.00823006
39.90934846	0.04566149	0.05264060	0.04915104	0.01581665	0.01631366	0.00814854
40.12845527	0.04580094	0.05356172	0.04968133	0.01540481	0.01629943	0.00799442
40.34756209	0.04529010	0.05502430	0.05015720	0.01470489	0.01633453	0.00809306
40.56666891	0.04552913	0.05608441	0.05080677	0.01406333	0.01631428	0.00818353
40.78577572	0.04640311	0.05643722	0.05142016	0.01388759	0.01650598	0.00826928
41.00488254	0.04575208	0.05732138	0.05153673	0.01353244	0.01668997	0.00847620
41.22398935	0.04545709	0.05815559	0.05180634	0.01324101	0.01668878	0.00861920
41.44309617	0.04494425	0.05813828	0.05154127	0.01286196	0.01693026	0.00881573
41.66220298	0.04559906	0.05712831	0.05136368	0.01265976	0.01681515	0.00884384
41.88130980	0.04603206	0.05597717	0.05100461	0.01247535	0.01672506	0.00870942
42.10041661	0.04615157	0.05447686	0.05031422	0.01239573	0.01672961	0.00850351
42.31952343	0.04648662	0.05262740	0.04955701	0.01232993	0.01679631	0.00840356
42.53863024	0.04626088	0.05042876	0.04834482	0.01248939	0.01680046	0.00826971
42.75773706	0.04667388	0.04883048	0.04775218	0.01275016	0.01690656	0.00824733
42.97684388	0.04603708	0.04708864	0.04656286	0.01271041	0.01667370	0.00813214
43.19595069	0.04546358	0.04331152	0.04438755	0.01263999	0.01643254	0.00806488
43.41505751	0.04515605	0.03931232	0.04223418	0.01263197	0.01638301	0.00801594
43.63416432	0.04490592	0.03555226	0.04022909	0.01257563	0.01605844	0.00785123
43.85327114	0.04480984	0.03223060	0.03852022	0.01246983	0.01563355	0.00756778
44.07237795	0.04458017	0.02940071	0.03699044	0.01223894	0.01522408	0.00724080
44.29148477	0.04439568	0.02678884	0.03559226	0.01189969	0.01478765	0.00693400
44.51059158	0.04417719	0.02439498	0.03428609	0.01144786	0.01425108	0.00669281
44.72969840	0.04390781	0.02221914	0.03306348	0.01108010	0.01371717	0.00652523
44.94880521	0.04358753	0.02026071	0.03192412	0.01062965	0.01312457	0.00630103
45.16791203	0.04390384	0.01839531	0.03114957	0.01008651	0.01243169	0.00602570
45.38701885	0.04483079	0.01662292	0.03072686	0.00956384	0.01178170	0.00574577
45.60612566	0.04550200	0.01449380	0.02999790	0.00905906	0.01111002	0.00548459
45.82523248	0.04593171	0.01281677	0.02937424	0.00866601	0.01047555	0.00519947
46.04433929	0.04570743	0.01091652	0.02831197	0.00853812	0.00998396	0.00495319
46.26344611	0.04634255	0.00878014	0.02756134	0.00850812	0.00970028	0.00474438
46.48255292	0.04762284	0.00824194	0.02793239	0.00860433	0.00959183	0.00456438
46.70165974	0.04826743	0.00859128	0.02842936	0.00882666	0.00968415	0.00449311
46.92076655	0.04873245	0.00911941	0.02892593	0.00920642	0.00986872	0.00444882
47.13987337	0.04948820	0.00906007	0.02927414	0.00960277	0.01006013	0.00442279
47.35898018	0.05081012	0.00837214	0.02959113	0.00994853	0.01028158	0.00441637
47.57808700	0.05243825	0.00743736	0.02993780	0.01023174	0.01055150	0.00442134
47.79719381	0.05442116	0.00626580	0.03034348	0.01048168	0.01078324	0.00449422
48.01630063	0.05677575	0.00485746	0.03081661	0.01070603	0.01098975	0.00459265
48.23540745	0.05719502	0.00499837	0.03109669	0.01089216	0.01108601	0.00470092
48.45451426	0.05717719	0.00517896	0.03117808	0.01115439	0.01116828	0.00483269
48.67362108	0.05657418	0.00557329	0.03107373	0.01132268	0.01118696	0.00496915
48.89272789	0.05596451	0.00670148	0.03133300	0.01138992	0.01117628	0.00507416
49.11183471	0.05511594	0.00821624	0.03166609	0.01138918	0.01113744	0.00516989
49.33094152	0.05492308	0.01036004	0.03264156	0.01114317	0.01097183	0.00519620
49.55004834	0.05389908	0.01266313	0.03328110	0.01090775	0.01083395	0.00519118
49.76915515	0.05207474	0.01442723	0.03325099	0.01060391	0.01060783	0.00518119
49.98826197	0.05087482	0.01548492	0.03317987	0.01026665	0.01034536	0.00512508
50.20736878	0.04985450	0.01618281	0.03301866	0.00997772	0.01019628	0.00508081
50.42647560	0.04834998	0.01718470	0.03276734	0.00967280	0.01007355	0.00504104
50.64558242	0.04634611	0.01850573	0.03242592	0.00939447	0.00993310	0.00498098
50.86468923	0.04391879	0.01925915	0.03158897	0.00914046	0.00978380	0.00493333
51.08379605	0.04106803	0.02088580	0.03097692	0.00891388	0.00969541	0.00486435
51.30290286	0.03779382	0.02279639	0.03029510	0.00877913	0.00955188	0.00480282
51.52200968	0.03645927	0.02314939	0.02980433	0.00863082	0.00945416	0.00473304
51.74111649	0.03493933	0.02352568	0.02923251	0.00854711	0.00940811	0.00466382
51.96022331	0.03341245	0.02375123	0.02858184	0.00855629	0.00934057	0.00464064
52.17933012	0.03216651	0.02375567	0.02796109	0.00863618	0.00922531	0.00461722
52.39843694	0.03143373	0.02307747	0.02725560	0.00873249	0.00913234	0.00459581
52.61754375	0.03078386	0.02214946	0.02646666	0.00880549	0.00909162	0.00461453
52.83665057	0.03021508	0.02099347	0.02560427	0.00885638	0.00906272	0.00465296
53.05575739	0.02960887	0.01972802	0.02466845	0.00890992	0.00902812	0.00466846
53.27486420	0.02910504	0.01864202	0.02387353	0.00893361	0.00906505	0.00464435
53.49397102	0.02844491	0.01780140	0.02312316	0.00897972	0.00911456	0.00461457
53.71307783	0.02784436	0.01699030	0.02241733	0.00894416	0.00912558	0.00456092
53.93218465	0.02727752	0.01636641	0.02182197	0.00882849	0.00907600	0.00451160
54.15129146	0.02769534	0.01658023	0.02213779	0.00875823	0.00908719	0.00444204
54.37039828	0.02843345	0.01617851	0.02230598	0.00861354	0.00900555	0.00435597
54.58950509	0.02912361	0.01575055	0.02243708	0.00841717	0.00887332	0.00423223
54.80861191	0.03014550	0.01535244	0.02274897	0.00817527	0.00876214	0.00411153
55.02771872	0.03143846	0.01503725	0.02323785	0.00796779	0.00861405	0.00399127
55.24682554	0.03250361	0.01496568	0.02373465	0.00769249	0.00835447	0.00383940
55.46593235	0.03336547	0.01519653	0.02428100	0.00745309	0.00810388	0.00368573
55.68503917	0.03384001	0.01591382	0.02487692	0.00720218	0.00787280	0.00351517
55.90414599	0.03422341	0.01681883	0.02552112	0.00698447	0.00766659	0.00338466
56.12325280	0.03449564	0.01775464	0.02612514	0.00678242	0.00743228	0.00325487
56.34235962	0.03465668	0.01853941	0.02659805	0.00667086	0.00712346	0.00316470
56.56146643	0.03476116	0.01937085	0.02706601	0.00662861	0.00684070	0.00309661
56.78057325	0.03506488	0.01990421	0.02748454	0.00664563	0.00664099	0.00305832
56.99968006	0.03539216	0.02011736	0.02775476	0.00681122	0.00656043	0.00305784
57.21878688	0.03579623	0.02022627	0.02801125	0.00709599	0.00658341	0.00311773
57.43789369	0.03538193	0.02035919	0.02787056	0.00737452	0.00662640	0.00321924
57.65700051	0.03478419	0.02051845	0.02765132	0.00759631	0.00668922	0.00333965
57.87610732	0.03437123	0.02070407	0.02753765	0.00780548	0.00685582	0.00346327
58.09521414	0.03370729	0.02091603	0.02731166	0.00800184	0.00703171	0.00355480
58.31432096	0.03279235	0.02108849	0.02694042	0.00819280	0.00723519	0.00364386
58.53342777	0.03212087	0.02105457	0.02658772	0.00836552	0.00748477	0.00373885
58.75253459	0.03166834	0.02075549	0.02621191	0.00847765	0.00777312	0.00384079
58.97164140	0.03178896	0.02000722	0.02589809	0.00849317	0.00806029	0.00390941
59.19074822	0.03310527	0.01913627	0.02612077	0.00844571	0.00836075	0.00394779
59.40985503	0.03455680	0.01831346	0.02643513	0.00841109	0.00867225	0.00402448
59.62896185	0.03489909	0.01772066	0.02630988	0.00845537	0.00894087	0.00413269
59.84806866	0.03551888	0.01695258	0.02623573	0.00858882	0.00919898	0.00422808
60.06717548	0.03639287	0.01644856	0.02642071	0.00868681	0.00940698	0.00426575
60.28628229	0.03736337	0.01643477	0.02689907	0.00881274	0.00961433	0.00428964
60.50538911	0.03837664	0.01652415	0.02745039	0.00897722	0.00977871	0.00429458
60.72449593	0.03938029	0.01671669	0.02804849	0.00923071	0.00994945	0.00428625
60.94360274	0.04040378	0.01701239	0.02870808	0.00954793	0.01014468	0.00428001
61.16270956	0.04144710	0.01741126	0.02942918	0.00997462	0.01039460	0.00431469
61.38181637	0.04251025	0.01740749	0.02995887	0.01040472	0.01067637	0.00426669
61.60092319	0.04358270	0.01740811	0.03049541	0.01082850	0.01095987	0.00421175
61.82003000	0.04465249	0.01696346	0.03080797	0.01128663	0.01127111	0.00420449
62.03913682	0.04571961	0.01688559	0.03130260	0.01175977	0.01160067	0.00417829
62.25824363	0.04651889	0.01694613	0.03173251	0.01220439	0.01195863	0.00415895
62.47735045	0.04611481	0.01711732	0.03161607	0.01261363	0.01231681	0.00415677
62.69645726	0.04556782	0.01738522	0.03147652	0.01300290	0.01267438	0.00418966
62.91556408	0.04612239	0.01774984	0.03193612	0.01335468	0.01305325	0.00425367
63.13467089	0.04633718	0.01815619	0.03224669	0.01366867	0.01349944	0.00430620
63.35377771	0.04621218	0.01856809	0.03239014	0.01396907	0.01399248	0.00434553
63.57288453	0.04590509	0.01895717	0.03243113	0.01428574	0.01448355	0.00442378
63.79199134	0.04538333	0.01930950	0.03234642	0.01461350	0.01493964	0.00448481
64.01109816	0.04482068	0.01962507	0.03222288	0.01489659	0.01529822	0.00451070
64.23020497	0.04421713	0.01990389	0.03206051	0.01514186	0.01556630	0.00451637
64.44931179	0.04357267	0.02014595	0.03185931	0.01531891	0.01577327	0.00450969
64.66841860	0.04288732	0.02085705	0.03187218	0.01544787	0.01596715	0.00451747
64.88752542	0.04216487	0.02156591	0.03186539	0.01555103	0.01615356	0.00452150
65.10663223	0.04139782	0.02234531	0.03187156	0.01564220	0.01631015	0.00449364
65.32573905	0.04058617	0.02269875	0.03164246	0.01573620	0.01642093	0.00443612
65.54484586	0.03982492	0.02295875	0.03139183	0.01588961	0.01648062	0.00434173
65.76395268	0.03912833	0.02337496	0.03125164	0.01609104	0.01655490	0.00423013
65.98305950	0.03849640	0.02458523	0.03154082	0.01629499	0.01665004	0.00411637
66.20216631	0.03792913	0.02533420	0.03163166	0.01649764	0.01672470	0.00397815
66.42127313	0.03742652	0.02573974	0.03158313	0.01670321	0.01686804	0.00381717
66.64037994	0.03695357	0.02580186	0.03137771	0.01691907	0.01699359	0.00369812
66.85948676	0.03647621	0.02575213	0.03111417	0.01715203	0.01714010	0.00363221
67.07859357	0.03608077	0.02581333	0.03094705	0.01738809	0.01730917	0.00354435
67.29770039	0.03559007	0.02580717	0.03069862	0.01762098	0.01747535	0.00351540
67.51680720	0.03500412	0.02573365	0.03036889	0.01784074	0.01767104	0.00345282
67.73591402	0.03422584	0.02536264	0.02979424	0.01810393	0.01790005	0.00342724
67.95502083	0.03355011	0.02514970	0.02934991	0.01837744	0.01820826	0.00342397
68.17412765	0.03297568	0.02501811	0.02899690	0.01871907	0.01855643	0.00343730
68.39323447	0.03243401	0.02510928	0.02877164	0.01906680	0.01884328	0.00355434
68.61234128	0.03185117	0.02543005	0.02864061	0.01943076	0.01916869	0.00363704
68.83144810	0.03118030	0.02586887	0.02852458	0.01976208	0.01948582	0.00370388
69.05055491	0.03042139	0.02616270	0.02829205	0.02012200	0.01982931	0.00370241
69.26966173	0.02957446	0.02560636	0.02759041	0.02047876	0.02015507	0.00372478
69.48876854	0.02863950	0.02539243	0.02701597	0.02084782	0.02057083	0.00380302
69.70787536	0.02774574	0.02558850	0.02666712	0.02125535	0.02092730	0.00386527
69.92698217	0.02680805	0.02622924	0.02651864	0.02168760	0.02137102	0.00386643
70.14608899	0.02585628	0.02697036	0.02641332	0.02217452	0.02177968	0.00383878
70.36519580	0.02489043	0.02758906	0.02623975	0.02257727	0.02219367	0.00386442
70.58430262	0.02391051	0.02826364	0.02608707	0.02294650	0.02265599	0.00391600
70.80340944	0.02291650	0.02884297	0.02587974	0.02334202	0.02310587	0.00393434
71.02251625	0.02213700	0.02868318	0.02541009	0.02374869	0.02364547	0.00395456
71.24162307	0.02113767	0.02662712	0.02388239	0.02427670	0.02415380	0.00402905
71.46072988	0.01992648	0.02552666	0.02272657	0.02470198	0.02467120	0.00403264
71.67983670	0.01874148	0.02564871	0.02219509	0.02520203	0.02517099	0.00404226
71.89894351	0.01763183	0.02519547	0.02141365	0.02566797	0.02565480	0.00412736
72.11805033	0.01660007	0.02576343	0.02118175	0.02617311	0.02624310	0.00418413
72.33715714	0.01560463	0.02600287	0.02080375	0.02654300	0.02667483	0.00428438
72.55626396	0.01640764	0.02598113	0.02119439	0.02687198	0.02699036	0.00444299
72.77537077	0.01671958	0.02576100	0.02124029	0.02717833	0.02725307	0.00456816
72.99447759	0.01706083	0.02515701	0.02110892	0.02728042	0.02741524	0.00470619
73.21358440	0.01713158	0.02413446	0.02063302	0.02739686	0.02741693	0.00480167
73.43269122	0.01764257	0.02280610	0.02022434	0.02724741	0.02730923	0.00495501
73.65179804	0.01883401	0.02117194	0.02000297	0.02697468	0.02712310	0.00509451
73.87090485	0.02027541	0.01925873	0.01976707	0.02659655	0.02675602	0.00519932
74.09001167	0.02189683	0.01728455	0.01959069	0.02596545	0.02630770	0.00534752
74.30911848	0.02362743	0.01617836	0.01990290	0.02513824	0.02560030	0.00540567
74.52822530	0.02585715	0.01667257	0.02126486	0.02423961	0.02476433	0.00541468
74.74733211	0.03038365	0.01612212	0.02325288	0.02323318	0.02379733	0.00542625
74.96643893	0.03183750	0.01450177	0.02316963	0.02195096	0.02275027	0.00549779
75.18554574	0.03424137	0.01338104	0.02381120	0.02089078	0.02164957	0.00550230
75.40465256	0.03774676	0.01175784	0.02475230	0.01981474	0.02033303	0.00556258
75.62375937	0.04214109	0.01078637	0.02646373	0.01880498	0.01935566	0.00561992
75.84286619	0.04507895	0.00827939	0.02667917	0.01776027	0.01843179	0.00560492
76.06197301	0.04876238	0.00679013	0.02777625	0.01713166	0.01790549	0.00567601
76.28107982	0.05243135	0.00529086	0.02886110	0.01626656	0.01724590	0.00580107
76.50018664	0.05643628	0.00337575	0.02990601	0.01542500	0.01681823	0.00609082
