# R	vm0	vstd0
31.00845191	0.03205045	0.01008323
31.22501905	0.03120194	0.00959905
31.44158619	0.03032502	0.00917582
31.65815333	0.02941972	0.00882309
31.87472047	0.02848601	0.00853378
32.09128761	0.02752390	0.00830019
32.30785475	0.02659337	0.00813207
32.52442189	0.02574368	0.00810393
32.74098903	0.02493659	0.00816472
32.95755618	0.02439411	0.00821962
33.17412332	0.02390907	0.00823971
33.39069046	0.02360814	0.00823983
33.60725760	0.02347769	0.00822678
33.82382474	0.02358828	0.00819844
34.04039188	0.02371477	0.00819005
34.25695902	0.02382260	0.00815193
34.47352616	0.02390466	0.00803247
34.69009330	0.02389059	0.00791402
34.90666044	0.02381260	0.00779478
35.12322758	0.02334499	0.00761956
35.33979472	0.02295549	0.00742100
35.55636187	0.02265978	0.00718390
35.77292901	0.02233692	0.00694728
35.98949615	0.02194873	0.00672314
36.20606329	0.02138650	0.00655535
36.42263043	0.02086009	0.00639670
36.63919757	0.02026051	0.00627974
36.85576471	0.01961459	0.00619128
37.07233185	0.01895842	0.00608274
37.28889899	0.01829202	0.00603317
37.50546613	0.01764996	0.00603306
37.72203327	0.01711564	0.00608776
37.93860041	0.01668437	0.00616708
38.15516756	0.01632397	0.00627018
38.37173470	0.01636010	0.00637496
38.58830184	0.01632508	0.00649105
38.80486898	0.01614321	0.00660819
39.02143612	0.01588620	0.00673107
39.23800326	0.01582314	0.00682801
39.45457040	0.01587931	0.00690905
39.67113754	0.01605471	0.00696553
39.88770468	0.01626887	0.00698269
40.10427182	0.01650054	0.00697815
40.32083896	0.01674972	0.00693635
40.53740610	0.01701641	0.00687751
40.75397325	0.01721933	0.00679134
40.97054039	0.01725635	0.00669402
41.18710753	0.01711358	0.00657505
41.40367467	0.01700029	0.00645807
41.62024181	0.01692888	0.00635200
41.83680895	0.01689935	0.00626288
42.05337609	0.01702107	0.00614533
42.26994323	0.01714248	0.00602269
42.48651037	0.01707088	0.00592940
42.70307751	0.01688100	0.00585570
42.91964465	0.01658325	0.00581131
43.13621180	0.01627701	0.00577601
43.35277894	0.01600333	0.00576355
43.56934608	0.01576645	0.00578334
43.78591322	0.01556640	0.00577264
44.00248036	0.01548942	0.00575104
44.21904750	0.01556297	0.00574857
44.43561464	0.01587594	0.00575381
44.65218178	0.01640251	0.00577306
44.86874892	0.01694716	0.00579491
45.08531606	0.01722442	0.00581545
45.30188320	0.01731539	0.00584085
45.51845034	0.01738583	0.00586363
45.73501749	0.01743708	0.00589093
45.95158463	0.01746914	0.00591778
46.16815177	0.01749033	0.00595188
46.38471891	0.01745463	0.00596417
46.60128605	0.01739907	0.00596766
46.81785319	0.01731877	0.00592719
47.03442033	0.01721150	0.00587710
47.25098747	0.01707226	0.00587346
47.46755461	0.01689949	0.00594128
47.68412175	0.01669317	0.00605145
47.90068889	0.01626987	0.00620610
48.11725603	0.01581270	0.00635730
48.33382318	0.01562370	0.00651049
48.55039032	0.01552033	0.00665890
48.76695746	0.01548838	0.00680090
48.98352460	0.01552651	0.00691629
49.20009174	0.01564378	0.00704236
49.41665888	0.01576134	0.00715909
49.63322602	0.01590630	0.00727104
49.84979316	0.01602185	0.00735269
50.06636030	0.01618793	0.00741734
50.28292744	0.01646354	0.00736935
50.49949458	0.01682578	0.00727062
50.71606172	0.01715399	0.00713706
50.93262887	0.01763429	0.00697565
51.14919601	0.01814557	0.00677281
51.36576315	0.01864751	0.00658874
51.58233029	0.01897515	0.00640947
51.79889743	0.01913491	0.00622678
52.01546457	0.01920833	0.00605610
52.23203171	0.01919542	0.00594934
52.44859885	0.01910949	0.00587335
52.66516599	0.01903778	0.00579888
52.88173313	0.01898028	0.00578637
53.09830027	0.01893699	0.00577806
53.31486742	0.01882860	0.00577319
53.53143456	0.01859832	0.00576466
53.74800170	0.01826906	0.00575278
53.96456884	0.01796820	0.00572767
54.18113598	0.01761444	0.00569285
54.39770312	0.01732558	0.00564236
54.61427026	0.01710914	0.00557136
54.83083740	0.01708191	0.00549631
55.04740454	0.01723001	0.00541916
55.26397168	0.01743034	0.00533039
55.48053882	0.01766017	0.00528130
55.69710596	0.01789715	0.00524389
55.91367311	0.01811393	0.00521368
56.13024025	0.01830996	0.00519602
56.34680739	0.01859970	0.00517155
56.56337453	0.01901903	0.00514890
56.77994167	0.01945785	0.00516567
56.99650881	0.01992962	0.00522620
57.21307595	0.02042759	0.00532333
57.42964309	0.02081614	0.00540789
57.64621023	0.02110393	0.00548923
57.86277737	0.02132373	0.00558720
58.07934451	0.02150720	0.00572327
58.29591165	0.02161416	0.00587715
58.51247880	0.02167962	0.00602341
58.72904594	0.02173320	0.00616138
58.94561308	0.02179577	0.00627468
59.16218022	0.02187165	0.00637421
59.37874736	0.02202557	0.00644149
59.59531450	0.02208953	0.00652335
59.81188164	0.02212218	0.00660196
60.02844878	0.02223189	0.00663055
60.24501592	0.02225896	0.00662848
60.46158306	0.02213023	0.00654471
60.67815020	0.02196068	0.00647251
60.89471734	0.02182327	0.00649449
61.11128449	0.02192166	0.00651176
61.32785163	0.02198980	0.00650351
61.54441877	0.02206738	0.00649910
61.76098591	0.02221790	0.00647681
61.97755305	0.02250486	0.00651674
62.19412019	0.02269955	0.00656478
62.41068733	0.02280439	0.00660533
62.62725447	0.02282467	0.00667487
62.84382161	0.02281391	0.00677871
63.06038875	0.02276165	0.00685203
63.27695589	0.02267954	0.00688425
63.49352304	0.02272457	0.00691281
63.71009018	0.02293652	0.00699711
63.92665732	0.02315321	0.00707713
64.14322446	0.02307831	0.00714007
64.35979160	0.02275767	0.00712036
64.57635874	0.02249280	0.00708071
64.79292588	0.02216247	0.00710713
65.00949302	0.02173854	0.00712363
65.22606016	0.02114332	0.00709341
65.44262730	0.02061892	0.00700355
65.65919444	0.02016257	0.00691017
65.87576158	0.01977261	0.00682933
66.09232873	0.01943380	0.00668655
66.30889587	0.01909749	0.00652536
66.52546301	0.01870637	0.00635304
66.74203015	0.01822235	0.00617130
66.95859729	0.01761619	0.00601872
67.17516443	0.01691219	0.00591253
67.39173157	0.01648805	0.00589234
67.60829871	0.01610192	0.00587482
67.82486585	0.01568407	0.00585736
68.04143299	0.01545596	0.00584377
68.25800013	0.01527432	0.00580781
68.47456727	0.01494757	0.00586943
68.69113442	0.01464723	0.00590106
68.90770156	0.01438759	0.00596979
69.12426870	0.01410085	0.00608000
69.34083584	0.01380518	0.00622820
69.55740298	0.01346680	0.00640629
69.77397012	0.01313313	0.00654839
69.99053726	0.01283151	0.00668304
70.20710440	0.01262455	0.00680035
70.42367154	0.01256599	0.00687278
70.64023868	0.01249615	0.00688863
70.85680582	0.01240736	0.00690176
71.07337296	0.01233389	0.00680964
71.28994011	0.01217550	0.00666988
71.50650725	0.01204099	0.00651551
71.72307439	0.01210001	0.00635497
71.93964153	0.01214670	0.00620393
72.15620867	0.01216304	0.00604395
72.37277581	0.01234307	0.00591907
72.58934295	0.01264489	0.00575790
72.80591009	0.01292323	0.00561146
73.02247723	0.01327771	0.00548396
73.23904437	0.01365204	0.00535414
73.45561151	0.01406808	0.00526194
73.67217866	0.01430752	0.00519000
73.88874580	0.01441344	0.00518994
74.10531294	0.01443498	0.00525355
74.32188008	0.01440685	0.00532571
74.53844722	0.01435514	0.00538208
74.75501436	0.01431586	0.00546173
74.97158150	0.01441666	0.00556925
75.18814864	0.01461560	0.00574535
75.40471578	0.01484922	0.00595492
75.62128292	0.01488865	0.00623098
75.83785006	0.01478832	0.00656859
76.05441720	0.01469596	0.00695659
76.27098435	0.01447694	0.00730886
76.48755149	0.01418256	0.00762899
76.70411863	0.01379658	0.00788296
76.92068577	0.01361127	0.00810651
77.13725291	0.01358354	0.00823672
77.35382005	0.01370505	0.00831903
77.57038719	0.01400038	0.00838989
77.78695433	0.01432047	0.00845923
78.00352147	0.01463242	0.00857861
78.22008861	0.01485610	0.00855926
78.43665575	0.01503346	0.00845654
78.65322289	0.01532131	0.00832485
78.86979004	0.01579801	0.00817077
79.08635718	0.01649837	0.00814709
79.30292432	0.01733608	0.00799062
79.51949146	0.01813562	0.00776244
79.73605860	0.01890071	0.00758912
79.95262574	0.01957690	0.00750771
80.16919288	0.02020620	0.00745402
80.38576002	0.02057314	0.00731956
80.60232716	0.02055335	0.00720849
