# R	vm0	vm1	vm2	vstd0	vstd1	vstd2
33.29462385	0.03859516	0.04012267	0.03935892	0.02625842	0.02432947	0.01331471
33.49975066	0.03764783	0.04066566	0.03915674	0.02446860	0.02269496	0.01254033
33.70487747	0.03698317	0.04085978	0.03892147	0.02291010	0.02123080	0.01194999
33.91000428	0.03660117	0.04083279	0.03871698	0.02169312	0.01990859	0.01144372
34.11513109	0.03649128	0.04058471	0.03853799	0.02077885	0.01886544	0.01111137
34.32025790	0.03508835	0.04007636	0.03758236	0.02022837	0.01822839	0.01091339
34.52538471	0.03372668	0.04014773	0.03693720	0.01998044	0.01795941	0.01086192
34.73051152	0.03234439	0.03997144	0.03615792	0.02005122	0.01806543	0.01093430
34.93563833	0.03090147	0.03958752	0.03524449	0.02045702	0.01859753	0.01115032
35.14076514	0.02951031	0.03889564	0.03420297	0.02088243	0.01887014	0.01130790
35.34589195	0.02848551	0.03806535	0.03327543	0.02124173	0.01916127	0.01144470
35.55101876	0.02808114	0.03684259	0.03246186	0.02174971	0.01942525	0.01155196
35.75614557	0.02822191	0.03526864	0.03174528	0.02243122	0.01980815	0.01172863
35.96127238	0.02868643	0.03385228	0.03126935	0.02313938	0.02019934	0.01195415
36.16639919	0.02919331	0.03272084	0.03095707	0.02390289	0.02059002	0.01222244
36.37152600	0.02963081	0.03144299	0.03053690	0.02498759	0.02104905	0.01250068
36.57665281	0.03005675	0.03025817	0.03015746	0.02608868	0.02160358	0.01280910
36.78177962	0.03032647	0.02945980	0.02989314	0.02714294	0.02209800	0.01315716
36.98690643	0.03043998	0.02892013	0.02968006	0.02815052	0.02252980	0.01350902
37.19203323	0.03040784	0.02864495	0.02952640	0.02902545	0.02284255	0.01382632
37.39716004	0.03180027	0.02867626	0.03023826	0.02975478	0.02313739	0.01409108
37.60228685	0.03329316	0.02816390	0.03072853	0.03037834	0.02343357	0.01434681
37.80741366	0.03494837	0.02793525	0.03144181	0.03088227	0.02379499	0.01449600
38.01254047	0.03691802	0.02793792	0.03242797	0.03114087	0.02407908	0.01452962
38.21766728	0.03851919	0.02845044	0.03348482	0.03107281	0.02420064	0.01441508
38.42279409	0.03945691	0.02933177	0.03439434	0.03079975	0.02421242	0.01421892
38.62792090	0.04046498	0.03009957	0.03528227	0.03032398	0.02405636	0.01395031
38.83304771	0.04186479	0.03162732	0.03674606	0.02974347	0.02390793	0.01365337
39.03817452	0.04343386	0.03223793	0.03783589	0.02894565	0.02357785	0.01332448
39.24330133	0.04517257	0.03227772	0.03872514	0.02786874	0.02288028	0.01284981
39.44842814	0.04596763	0.03188011	0.03892387	0.02656150	0.02215292	0.01228758
39.65355495	0.04546274	0.03222590	0.03884432	0.02523337	0.02131663	0.01169274
39.85868176	0.04571425	0.03233121	0.03902273	0.02382277	0.02037984	0.01110116
40.06380857	0.04629377	0.03219607	0.03924492	0.02243622	0.01949291	0.01045595
40.26893538	0.04652618	0.03181468	0.03917043	0.02113992	0.01875532	0.00977463
40.47406219	0.04640638	0.03279445	0.03960041	0.02005062	0.01817828	0.00916559
40.67918900	0.04592420	0.03477110	0.04034765	0.01927781	0.01776999	0.00866007
40.88431581	0.04507964	0.03502871	0.04005418	0.01886176	0.01767451	0.00827181
41.08944262	0.04376062	0.03526720	0.03951391	0.01862202	0.01782432	0.00800023
41.29456943	0.04255306	0.03542408	0.03898857	0.01850607	0.01809559	0.00779973
41.49969624	0.04166182	0.03570704	0.03868443	0.01863286	0.01850754	0.00765738
41.70482305	0.04035312	0.03719718	0.03877515	0.01897516	0.01894735	0.00749925
41.90994986	0.03845395	0.03785607	0.03815501	0.01941200	0.01939645	0.00733873
42.11507667	0.03618790	0.03936082	0.03777436	0.01994389	0.01988008	0.00723081
42.32020347	0.03355458	0.04136510	0.03745984	0.02045658	0.02035956	0.00717088
42.52533028	0.03172544	0.04372705	0.03772625	0.02095921	0.02085977	0.00720201
42.73045709	0.03120838	0.04526489	0.03823664	0.02142251	0.02138029	0.00733479
42.93558390	0.02997520	0.04695833	0.03846677	0.02182879	0.02180503	0.00743881
43.14071071	0.02853728	0.04877329	0.03865528	0.02218356	0.02204322	0.00757968
43.34583752	0.02655457	0.05070978	0.03863217	0.02242464	0.02214878	0.00772749
43.55096433	0.02495161	0.05115928	0.03805545	0.02255275	0.02212063	0.00790750
43.75609114	0.02342441	0.05085585	0.03714013	0.02247461	0.02211635	0.00812814
43.96121795	0.02208449	0.05240386	0.03724418	0.02225099	0.02202283	0.00836125
44.16634476	0.02107888	0.05396875	0.03752382	0.02200670	0.02192116	0.00863541
44.37147157	0.02040757	0.05564793	0.03802775	0.02164065	0.02174532	0.00886279
44.57659838	0.02007056	0.05681608	0.03844332	0.02123921	0.02163761	0.00904843
44.78172519	0.02006785	0.05687442	0.03847113	0.02081303	0.02155307	0.00925163
44.98685200	0.02025104	0.05698790	0.03861947	0.02035492	0.02145306	0.00945558
45.19197881	0.02061905	0.05715651	0.03888778	0.01992865	0.02143272	0.00966809
45.39710562	0.02117187	0.05738026	0.03927606	0.01943053	0.02142916	0.00993046
45.60223243	0.02133384	0.05766757	0.03950071	0.01898512	0.02131047	0.01010422
45.80735924	0.02150677	0.05746398	0.03948538	0.01859440	0.02125403	0.01021498
46.01248605	0.02158051	0.05538114	0.03848082	0.01835652	0.02123360	0.01023811
46.21761286	0.02130832	0.05367321	0.03749076	0.01826424	0.02129636	0.01015278
46.42273967	0.02170537	0.05376912	0.03773725	0.01828924	0.02125845	0.00999271
46.62786648	0.02184714	0.05177731	0.03681222	0.01834777	0.02120072	0.00978261
46.83299329	0.02203761	0.04950023	0.03576892	0.01838097	0.02104679	0.00951915
47.03812010	0.02254254	0.04943652	0.03598953	0.01836042	0.02080239	0.00921972
47.24324690	0.02292307	0.04863983	0.03578145	0.01827480	0.02040638	0.00886201
47.44837371	0.02306435	0.04687438	0.03496937	0.01816791	0.01999624	0.00848910
47.65350052	0.02300660	0.04627747	0.03464203	0.01788896	0.01954379	0.00809777
47.85862733	0.02281241	0.04678650	0.03479945	0.01752628	0.01899320	0.00768649
48.06375414	0.02248177	0.04703182	0.03475680	0.01711564	0.01845828	0.00729882
48.26888095	0.02201470	0.04457663	0.03329566	0.01659406	0.01780635	0.00690560
48.47400776	0.02145821	0.04212097	0.03178959	0.01599306	0.01708519	0.00654974
48.67913457	0.02133425	0.03967820	0.03050623	0.01539441	0.01638748	0.00627566
48.88426138	0.02106836	0.03780626	0.02943731	0.01481086	0.01562144	0.00605137
49.08938819	0.02072539	0.03934443	0.03003491	0.01429266	0.01494971	0.00594521
49.29451500	0.02046685	0.04000848	0.03023767	0.01383577	0.01431700	0.00587388
49.49964181	0.02029084	0.03782503	0.02905793	0.01345028	0.01369779	0.00582189
49.70476862	0.02019737	0.03788021	0.02903879	0.01320034	0.01322749	0.00585000
49.90989543	0.02018643	0.03801201	0.02909922	0.01313091	0.01309377	0.00596745
50.11502224	0.01988074	0.03583331	0.02785702	0.01317304	0.01306391	0.00611261
50.32014905	0.01957215	0.03443748	0.02700482	0.01333056	0.01316413	0.00629494
50.52527586	0.01937982	0.03405598	0.02671790	0.01357238	0.01323991	0.00649192
50.73040267	0.01926697	0.03219673	0.02573185	0.01384019	0.01330444	0.00670425
50.93552948	0.01917101	0.02884881	0.02400991	0.01411266	0.01342923	0.00691360
51.14065629	0.01909193	0.02660004	0.02284599	0.01435546	0.01343284	0.00708759
51.34578310	0.01902805	0.02788723	0.02345764	0.01460690	0.01353241	0.00727807
51.55090991	0.01892772	0.03001030	0.02446901	0.01483671	0.01352169	0.00741823
51.75603672	0.01878647	0.03215556	0.02547102	0.01504436	0.01348384	0.00753633
51.96116353	0.01858859	0.03258001	0.02558430	0.01518000	0.01353291	0.00761737
52.16629033	0.01832454	0.03090068	0.02461261	0.01523240	0.01362056	0.00764332
52.37141714	0.01805876	0.02999294	0.02402585	0.01519757	0.01362749	0.00762555
52.57654395	0.01779313	0.03040121	0.02409717	0.01515438	0.01365791	0.00764186
52.78167076	0.01752764	0.03092917	0.02422841	0.01508935	0.01371093	0.00765176
52.98679757	0.01785046	0.03098867	0.02441956	0.01498090	0.01369479	0.00764202
53.19192438	0.01879320	0.03052688	0.02466004	0.01482187	0.01384598	0.00766670
53.39705119	0.01982638	0.03005185	0.02493911	0.01459530	0.01398577	0.00771953
53.60217800	0.02078330	0.02956788	0.02517559	0.01433680	0.01420791	0.00778267
53.80730481	0.02157535	0.02946667	0.02552101	0.01399340	0.01447212	0.00781858
54.01243162	0.02203187	0.02999241	0.02601214	0.01365036	0.01474625	0.00787719
54.21755843	0.02215285	0.02974780	0.02595033	0.01339470	0.01507283	0.00799678
54.42268524	0.02208266	0.02851905	0.02530085	0.01315488	0.01540149	0.00811985
54.62781205	0.02186029	0.02627177	0.02406603	0.01297815	0.01569612	0.00823560
